Time;Input;Th1;Th2
2.2;0.293956516;-0.749637064;0.557605097
2.21;0.296823784;-0.76794789;0.557605097
2.22;0.298786488;-0.780155108;0.564929427
2.23;0.299826057;-0.799686656;0.564929427
2.24;0.29992663;-0.817997482;0.569812314
2.25;0.2990752;-0.8302047;0.583240253
2.26;0.297261746;-0.848515526;0.591785306
2.27;0.29447936;-0.868047074;0.606433967
2.28;0.290724367;-0.87903357;0.624744793
2.29;0.285996437;-0.892461509;0.645497063
2.3;0.280298683;-0.908330892;0.672352941
2.31;0.273637752;-0.926641718;0.687001602
2.32;0.266023905;-0.938848936;0.711416037
2.33;0.257471084;-0.954718318;0.733389029
2.34;0.247996962;-0.968146258;0.759024186
2.35;0.237622984;-0.982794919;0.789542229
2.36;0.226374396;-0.998664302;0.799308003
2.37;0.214280249;-1.007209354;0.842033265
2.38;0.201373394;-1.020637293;0.864006256
2.39;0.187690459;-1.036506676;0.885979248
2.4;0.173271811;-1.051155337;0.926263066
2.41;0.158161492;-1.05359678;0.953118944
2.42;0.142407148;-1.060921111;0.975091936
2.43;0.126059929;-1.069466163;1.005609979
2.44;0.109174377;-1.075569772;1.031245136
2.45;0.091808293;-1.081673381;1.053218128
2.46;0.07402258;-1.090218433;1.072749676
2.47;0.055881076;-1.097542763;1.095943389
2.48;0.037450358;-1.092659876;1.117916381
2.49;0.018799531;-1.101204929;1.128902876
2.5;9.18485E-17;-1.097542763;1.154538033
2.51;-0.025166374;-1.099984207;1.163083085
2.52;-0.050332764;-1.099984207;1.175290303
2.53;-0.075396854;-1.099984207;1.185056077
2.54;-0.100254734;-1.09510132;1.20092546
2.55;-0.124801319;-1.091439155;1.20824979
2.56;-0.148930792;-1.086556268;1.213132677
2.57;-0.172537071;-1.085335546;1.205808347
2.58;-0.195514278;-1.078011215;1.197263294
2.59;-0.21775724;-1.069466163;1.193601129
2.6;-0.239161993;-1.059700389;1.182614633
2.61;-0.259626298;-1.043831006;1.171628138
2.62;-0.279050167;-1.035285954;1.15209659
2.63;-0.297336397;-1.021858015;1.13134432
2.64;-0.314391105;-1.009650797;1.109371328
2.65;-0.330124263;-0.990119249;1.091060502
2.66;-0.344450236;-0.969366979;1.051997406
2.67;-0.357288308;-0.960821927;1.021479362
2.68;-0.368563206;-0.938848936;1.000727092
2.69;-0.378205612;-0.922979553;0.951898222
2.7;-0.386152656;-0.903448005;0.920159457
2.71;-0.392348396;-0.881475013;0.881096361
2.72;-0.396744279;-0.859502022;0.840812543
2.73;-0.39929957;-0.843632639;0.795645838
2.74;-0.399981758;-0.817997482;0.761465629
2.75;-0.398766933;-0.799686656;0.716298924
2.76;-0.395640127;-0.780155108;0.67845655
2.77;-0.390595612;-0.752078508;0.640614176
2.78;-0.383637167;-0.731326238;0.602771801
2.79;-0.374778293;-0.715456855;0.557605097
2.8;-0.364042388;-0.692263142;0.524645609
2.81;-0.351462866;-0.673952316;0.489244678
2.82;-0.337083229;-0.651979324;0.459947356
2.83;-0.320957081;-0.636109941;0.426987869
2.84;-0.303148091;-0.62146128;0.398911269
2.85;-0.283729892;-0.605591897;0.374496834
2.86;-0.26278592;-0.583618906;0.37205539
2.87;-0.240409201;-0.573853132;0.353744564
2.88;-0.216702062;-0.557983749;0.35130312
2.89;-0.191775792;-0.55188014;0.341537346
2.9;-0.165750232;-0.539672923;0.34397879
2.91;-0.138753308;-0.52380354;0.356186007
2.92;-0.110920495;-0.520141375;0.361068894
2.93;-0.082394232;-0.511596323;0.374496834
2.94;-0.053323262;-0.510375601;0.390366217
2.95;-0.023861929;-0.506713436;0.414780652
2.96;0.004372942;-0.50305127;0.444077974
2.97;0.026693322;-0.506713436;0.468492409
2.98;0.048939932;-0.507934157;0.499010452
2.99;0.070986328;-0.509154879;0.533190661
3;0.092705098;-0.511596323;0.56004654
3.01;0.113968602;-0.512817044;0.607654688
3.02;0.134649736;-0.515258488;0.644276341
3.03;0.154622713;-0.526244984;0.67845655
3.04;0.173763865;-0.531127871;0.713857481
3.05;0.191952444;-0.540893645;0.745596246
3.06;0.209071439;-0.548217975;0.785880064
3.07;0.225008388;-0.559204471;0.812735943
3.08;0.23965618;-0.573853132;0.843253986
3.09;0.252913852;-0.584839628;0.872551308
3.1;0.264687368;-0.59338468;0.907952239
3.11;0.274890369;-0.612916228;0.925042344
3.12;0.283444902;-0.626344167;0.953118944
3.13;0.290282107;-0.636109941;0.973871214
3.14;0.29534287;-0.656862211;0.986078431
3.15;0.298578421;-0.67029015;1.000727092
3.16;0.299950884;-0.682497368;1.011713588
3.17;0.299433771;-0.705691081;1.01293431
3.18;0.297012407;-0.722781186;1.004389258
3.19;0.292684287;-0.733767681;1.006830701
3.2;0.286459363;-0.748416342;0.994623484
3.21;0.278360249;-0.764285725;0.986078431
3.22;0.268422343;-0.777713664;0.966546883
3.23;0.256693866;-0.798465934;0.950677501
3.24;0.243235809;-0.810673152;0.921380179
3.25;0.22812179;-0.824101091;0.905510796
3.26;0.211437814;-0.838749752;0.867668421
3.27;0.193281943;-0.846074083;0.851799039
3.28;0.173763865;-0.859502022;0.813956664
3.29;0.15300437;-0.864384909;0.788321508
3.3;0.13113473;-0.870488518;0.75536202
3.31;0.108295986;-0.880254292;0.717519646
3.32;0.084638141;-0.890020066;0.687001602
3.33;0.060319273;-0.890020066;0.656483558
3.34;0.035504553;-0.897344396;0.614979019
3.35;0.010365192;-0.89978584;0.583240253
3.36;-0.019896917;-0.897344396;0.549060044
3.37;-0.053572335;-0.902227283;0.517321279
3.38;-0.086962942;-0.898565118;0.4904654
3.39;-0.119824149;-0.892461509;0.466050965
3.4;-0.151911638;-0.887578622;0.439195087
3.41;-0.182983212;-0.882695735;0.418442817
3.42;-0.21280067;-0.875371405;0.390366217
3.43;-0.241131713;-0.869267796;0.37205539
3.44;-0.26775184;-0.864384909;0.348861677
3.45;-0.292446238;-0.849736248;0.337875181
3.46;-0.315011649;-0.832646143;0.32322652
3.47;-0.335258185;-0.822880369;0.308577859
3.48;-0.353011087;-0.807010986;0.296370642
3.49;-0.368112409;-0.78870016;0.287825589
3.5;-0.380422607;-0.771610056;0.284163424
3.51;-0.389822019;-0.748416342;0.282942702
3.52;-0.396212225;-0.730105516;0.281721981
3.53;-0.399517257;-0.709353246;0.285384146
3.54;-0.399684669;-0.686159533;0.292708476
3.55;-0.396686424;-0.666627985;0.30247425
3.56;-0.390519612;-0.648317159;0.312240024
3.57;-0.381206966;-0.628785611;0.328109407
3.58;-0.368797183;-0.608033341;0.350082399
3.59;-0.353365027;-0.584839628;0.373276112
3.6;-0.335011216;-0.568970245;0.387924773
3.61;-0.313862081;-0.545776532;0.423325704
3.62;-0.290069001;-0.528686427;0.463609522
3.63;-0.263807604;-0.517699931;0.491686122
3.64;-0.235276734;-0.500609827;0.528307774
3.65;-0.2046972;-0.482299001;0.573474479
3.66;-0.172310292;-0.472533227;0.616199741
3.67;-0.138376082;-0.46765034;0.655262837
3.68;-0.103171521;-0.455443122;0.705312428
3.69;-0.066988331;-0.450560235;0.740713359
3.7;-0.030130722;-0.451780957;0.782217899
3.71;0.005315297;-0.444456626;0.822501717
3.72;0.033257515;-0.449339513;0.859123369
3.73;0.060983844;-0.448118791;0.912835126
3.74;0.088248129;-0.451780957;0.93602884
3.75;0.11480503;-0.450560235;0.968988327
3.76;0.14041226;-0.455443122;1.001947814
3.77;0.164832861;-0.463988174;1.019037919
3.78;0.187837471;-0.472533227;1.04101091
3.79;0.20920658;-0.476195392;1.064204623
3.8;0.228732753;-0.488402609;1.073970397
3.81;0.24622278;-0.501830549;1.081294728
3.82;0.261499748;-0.515258488;1.080074006
3.83;0.274405008;-0.526244984;1.077632563
3.84;0.284800011;-0.539672923;1.067866789
3.85;0.292567989;-0.553100862;1.055659571
3.86;0.297615473;-0.57263241;1.025141527
3.87;0.299873612;-0.592163958;1.001947814
3.88;0.299299288;-0.604371176;0.979974823
3.89;0.295875996;-0.62146128;0.949456779
3.9;0.289614492;-0.638551385;0.911614405
3.91;0.280553175;-0.650758602;0.870109865
3.92;0.268758213;-0.672731594;0.810294499
3.93;0.254323379;-0.680055924;0.784659342
3.94;0.237369621;-0.699587472;0.718740368
3.95;0.21804434;-0.71179469;0.68578088
